Country Name,Country Code,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
Afghanistan,AFG,0,0,0,0,0,22.29526901,28.09996223,33.9016037,42.4,45.52068329,42.7,43.22201891,69.1,68.98294067,89.5
Africa Eastern and Southern,AFE,20.08600661,23.10317848,24.22343015,25.02318413,26.17633577,23.62149844,27.29943305,28.73795234,28.8137354,27.48306125,28.23337289,28.38183599,32.22402744,32.0464781,31.3235788
Africa Western and Central,AFW,34.65801135,35.6643106,36.40355023,40.6739752,37.7579127,38.00790869,39.86070626,40.74423219,41.68669872,41.86571258,41.73088116,45.90129863,44.13035389,47.01816265,47.74549899
Albania,ALB,100,100,100,100,100,100,100,100,100,100,100,100,99.9,100,99.95
Algeria,DZA,0,0,0,0,0,0,0,0,99.3,98.81757355,98.82183838,98.84799194,98.76466047,98.97725677,99.07403564
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,AGO,0,20,26.38386917,27.4656353,28.53676033,29.59622383,30.64655495,37.5,38.49,33.80418396,34.87972641,34.6,37.10102463,38.24899292,32
Antigua and Barbuda,ATG,97.45578003,97.60110474,100,97.86569977,97.98262787,92.2,100,100,100,98.47905731,98.60040283,94.55201403,100,100,100
Argentina,ARG,95.44536591,95.51106347,96.04728699,96.33463287,96.61134338,96.87638855,97.13230133,97.38516998,97.64122009,97.90668488,98.82,99.0802002,99.22885895,99.35622406,100
Armenia,ARM,98.9,100,98,99.22579956,99.24093628,99.8,99.23873901,99.23002625,99.22450256,99.22839355,99.8,99.60435486,99.61703491,99.42,99.71
Aruba,ABW,91.660398,100,100,100,100,100,100,100,100,100,93.35629215,100,100,100,100
Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,AZE,98.90822245,98.62342072,100,98.97785187,99.13969421,99.28987885,99.5,99.56891632,99.7101059,99.86070251,99.94705963,99.9,100,100,100
Bahamas,BHS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bahrain,BHR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bangladesh,BGD,32,35.109272,37.88195801,40.64517975,40.6,44.23,50.52510246,46.5,54.33111954,57.07246017,55.26,59.6,65.41366577,61.5,62.4
Barbados,BRB,100,100,100,100,99.99882507,99.99047852,100,100,100,100,100,100,100,100,100
Belarus,BLR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,BLZ,79,80.2023468,81.06098175,81.91015625,82.74869537,83.57556152,90.98853086,85.20799255,86.02586365,86.85315704,89.91722437,91.68173599,90.98912048,91.16732788,91.37887573
Benin,BEN,21.5398941,21.9,23.4730835,24.42607117,25.36841774,26.29910088,27.9,28.13915253,29.0608387,29.99194527,34.2,36.9,38.4,34.65625,34.1
Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bhutan,BTN,31.15,40.09151077,44.04301453,41.1,51.91645432,59.80811164,59.74679565,71.8,67.56508636,71.48524475,73.28291087,81.68799591,91.5,87.37114716,91.39948273
Bolivia,BOL,69.963045,69.258539,63.996855,72.3,76.04425049,68.288209,76.211281,80.156567,84.674991,86.765597,88.31281281,88.335943,90.387375,89.505686,90.038729
