Country,Code,Year,Coal,Hydro,Solar,Oil,Wind
Afghanistan,AFG,2000,0,0.312,0,0,0
Afghanistan,AFG,2001,0,0.498,0,0,0
Afghanistan,AFG,2002,0,0.555,0,0,0
Afghanistan,AFG,2003,0,0.63,0,0,0
Afghanistan,AFG,2004,0,0.565,0,0,0
Afghanistan,AFG,2005,0,0.59,0,0,0
Afghanistan,AFG,2006,0,0.637,0,0,0
Afghanistan,AFG,2007,0,0.748,0,0,0
Afghanistan,AFG,2008,0,0.542,0,0,0.00001
Afghanistan,AFG,2009,0,0.776,0,0,0.0001
Afghanistan,AFG,2010,0,0.751,0.0002,0,0.0001
Afghanistan,AFG,2011,0,0.595,0.0002,0,0.0001
Afghanistan,AFG,2012,0,0.71,0.028,0,0
Afghanistan,AFG,2013,0,0.855,0.03,0,0
Afghanistan,AFG,2014,0,0.968,0.032,0,0
Albania,ALB,2000,0,4.548,0,0.13536,0
Albania,ALB,2001,0,3.519,0,0.12878,0
Albania,ALB,2002,0,3.477,0,0.16356,0
Albania,ALB,2003,0,5.117,0,0.10058,0
Albania,ALB,2004,0,5.411,0,0.1316,0
Albania,ALB,2005,0,5.319,0,0.0658,0
Albania,ALB,2006,0,4.951,0,0.08742,0
Albania,ALB,2007,0,2.76,0,0.06768,0
Albania,ALB,2008,0,3.759,0,0,0
Albania,ALB,2009,0,5.201,0,0,0
Albania,ALB,2010,0,7.49133,0.0005,0.00094,0
Albania,ALB,2011,0,4.09068,0.0008,0.05546,0
Albania,ALB,2012,0,4.67775,0.0009,0,0
Albania,ALB,2013,0,6.88941,0.001,0,0
Albania,ALB,2014,0,4.67676,0.001,0,0
Algeria,DZA,2000,0,0.053,0,0,0
Algeria,DZA,2001,0,0.068,0,0,0
Algeria,DZA,2002,0,0.056,0,0,0
Algeria,DZA,2003,0,0.262,0,0,0
Algeria,DZA,2004,0,0.248,0,0,0
Algeria,DZA,2005,0,0.549,0,0,0
Algeria,DZA,2006,0,0.216,0,0,0
Algeria,DZA,2007,0,0.224,0,0,0
Algeria,DZA,2008,0,0.28,0,0,0
Algeria,DZA,2009,0,0.303,0,0,0
Algeria,DZA,2010,0,0.172,0.0001,0,0
Algeria,DZA,2011,0,0.497,0.0001,0,0
Algeria,DZA,2012,0,0.616,0.0001,0,0
Algeria,DZA,2013,0,0.327,0.0001,0,0
Algeria,DZA,2014,0,0.251,0.0001,0,0.001
American Samoa,ASM,2000,0,0,0,0.159,0
American Samoa,ASM,2001,0,0,0,0.161,0
American Samoa,ASM,2002,0,0,0,0.168,0
American Samoa,ASM,2003,0,0,0,0.177,0
American Samoa,ASM,2004,0,0,0,0.177,0
American Samoa,ASM,2005,0,0,0,0.178,0
American Samoa,ASM,2006,0,0,0,0.181,0
American Samoa,ASM,2007,0,0,0,0.184,0
American Samoa,ASM,2008,0,0,0,0.187,0
American Samoa,ASM,2009,0,0,0,0.178,0
American Samoa,ASM,2010,0,0,0,0.159,0
American Samoa,ASM,2011,0,0,0,0.155,0
American Samoa,ASM,2012,0,0,0,0.157,0
American Samoa,ASM,2013,0,0,0,0.156,0
American Samoa,ASM,2014,0,0,0,0.156,0
Angola,AGO,2000,0,0.903,0,0.228190957,0
Angola,AGO,2001,0,1.007,0,0.265866012,0
Angola,AGO,2002,0,1.132,0,0.266294138,0
Angola,AGO,2003,0,1.229,0,0.32280672,0
Angola,AGO,2004,0,1.733,0,0.206356551,0
Angola,AGO,2005,0,2.197,0,0.242747229,0
Angola,AGO,2006,0,2.638,0,0.274428525,0
Angola,AGO,2007,0,2.472,0,0.308250449,0
Angola,AGO,2008,0,3.103,0,0.437544388,0
Angola,AGO,2009,0,3.063,0,0.702554149,0
Angola,AGO,2010,0,3.666,0.01,0.747507339,0
Angola,AGO,2011,0,3.967,0.011,0.703838526,0
Angola,AGO,2012,0,3.734,0.014,1.041201517,0
Angola,AGO,2013,0,4.719,0.015,1.476605276,0
Angola,AGO,2014,0,4.991,0.017,1.900449644,0
Antigua and Barbuda,ATG,2000,0,0,0,0.141,0
Antigua and Barbuda,ATG,2001,0,0,0,0.161,0
Antigua and Barbuda,ATG,2002,0,0,0,0.18,0
Antigua and Barbuda,ATG,2003,0,0,0,0.198,0
Antigua and Barbuda,ATG,2004,0,0,0,0.208,0
Antigua and Barbuda,ATG,2005,0,0,0,0.228,0
Antigua and Barbuda,ATG,2006,0,0,0,0.243,0
Antigua and Barbuda,ATG,2007,0,0,0,0.263,0
Antigua and Barbuda,ATG,2008,0,0,0,0.271,0
Antigua and Barbuda,ATG,2009,0,0,0,0.308,0
Antigua and Barbuda,ATG,2010,0,0,0.0002,0.319,0
Antigua and Barbuda,ATG,2011,0,0,0.0005,0.318,0
Antigua and Barbuda,ATG,2012,0,0,0.0005,0.31,0
Antigua and Barbuda,ATG,2013,0,0,0.0006,0.31,0
Antigua and Barbuda,ATG,2014,0,0,0.0006,0.316,0
Argentina,ARG,2000,1.855005855,28.486,0,3.073957386,0.035
Argentina,ARG,2001,1.433319805,36.653,0,1.079495866,0.049
Argentina,ARG,2002,0.876816823,35.492,0,0.860977684,0.073
Argentina,ARG,2003,0.984390651,33.475,0,1.091562953,0.078
Argentina,ARG,2004,1.706562985,30.136,0.00007,4.205172768,0.072
Argentina,ARG,2005,2.22013352,33.664,0.00008,6.110202182,0.075
Argentina,ARG,2006,2.105395309,37.571,0.00009,8.703497258,0.07
Argentina,ARG,2007,2.493947087,30.063,0.0001,12.04892858,0.061
Argentina,ARG,2008,1.952354779,30.113,0.0001,14.80947277,0.042
Argentina,ARG,2009,1.808626071,33.527,0.0001,15.15432842,0.036
Argentina,ARG,2010,3.112825477,33.01947,0.0001,17.55703822,0.025
Argentina,ARG,2011,3.032131578,31.03353,0.002,20.13331202,0.059
Argentina,ARG,2012,2.701389085,28.71198,0.008,20.25530961,0.822
Argentina,ARG,2013,2.434318028,32.51259,0.015,21.93138327,1.007
Argentina,ARG,2014,2.634214126,32.33241,0.016,20.61189717,0.619
Armenia,ARM,2000,0,1.248,0,0,0
Armenia,ARM,2001,0,0.958,0,0,0
Armenia,ARM,2002,0,1.641,0,0,0
Armenia,ARM,2003,0,1.962,0,0,0
Armenia,ARM,2004,0,1.978,0,0,0
Armenia,ARM,2005,0,1.755,0,0,0.001
Armenia,ARM,2006,0,1.807,0,0,0.001
Armenia,ARM,2007,0,1.833975,0,0,0.003
Armenia,ARM,2008,0,1.77903,0,0,0.002
